case_name,cycles_file,summary_file,num_cycles,dt_estimate_s,tracking_rmse,tracking_mean,tracking_p95,velocity_rmse,solve_time_mean_ms,solve_time_p95_ms,torque_ratio_mean,torque_ratio_p95,failure_rate,accel_rms_norm,jerk_rms_norm_from_dq,jerk_rms_norm_from_q,torque_rate_rms_norm,effort_rate_rms_norm,robot,backend,plant_mass_scale,plant_payload_mass,controller_payload_mass,model_payload,plant_payload_com,controller_payload_com,payload_com_attachment,external_force_body_name,external_force_start_s,external_force_duration_s,external_force,external_torque
external_5N_tetrapga,reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260627_124744/external_5N_tetrapga_cycles.csv,reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260627_124744/external_5N_tetrapga_summary.csv,1000,0.02000015,0.177609815,0.172201335,0.246905523,0.179559528,1.68372935,3.46524365,0.0992888887,0.195967754,0,5.0445614,408.398931,227.084131,787.551643,1736.20632,ur,tetrapga,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,8,0.04,5 0 0,0 0 0
mass_070_tetrapga,reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260627_124744/mass_070_tetrapga_cycles.csv,reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260627_124744/mass_070_tetrapga_summary.csv,1000,0.020000079,0.175985394,0.170779882,0.245122534,0.174135227,1.90984599,3.6046402,0.068310264,0.146485888,0,4.60048601,381.241701,220.806169,730.780457,1492.10942,ur,tetrapga,0.7,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0
mass_080_tetrapga,reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260627_124744/mass_080_tetrapga_cycles.csv,reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260627_124744/mass_080_tetrapga_summary.csv,1000,0.01999994,0.176387154,0.171052404,0.245628076,0.183750157,2.18172607,3.75504445,0.0888779874,0.179044336,0,5.86320363,478.837808,234.789441,753.25414,1689.00203,ur,tetrapga,0.8,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0
mass_090_tetrapga,reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260627_124744/mass_090_tetrapga_cycles.csv,reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260627_124744/mass_090_tetrapga_summary.csv,1000,0.020000062,0.17674914,0.17143227,0.246611263,0.174704103,1.64536954,3.28968955,0.0840013353,0.175577837,0,4.5332738,375.201812,221.698181,772.68789,1621.50948,ur,tetrapga,0.9,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0
mass_110_tetrapga,reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260627_124744/mass_110_tetrapga_cycles.csv,reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260627_124744/mass_110_tetrapga_summary.csv,1000,0.020000264,0.176854744,0.171689289,0.240167768,0.185032135,1.6631546,3.60706825,0.115464393,0.220685306,0,5.97508454,493.034269,240.04537,787.342896,1798.49094,ur,tetrapga,1.1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0
mass_120_tetrapga,reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260627_124744/mass_120_tetrapga_cycles.csv,reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260627_124744/mass_120_tetrapga_summary.csv,1000,0.020000345,0.178093433,0.172857233,0.242345801,0.186500444,1.82478801,3.8083975,0.122787808,0.243539458,0,6.04655983,500.112697,228.334781,807.980315,1926.39378,ur,tetrapga,1.2,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0
mass_130_tetrapga,reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260627_124744/mass_130_tetrapga_cycles.csv,reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260627_124744/mass_130_tetrapga_summary.csv,1000,0.019999916,0.17828744,0.173065639,0.241646459,0.177230671,1.61017713,3.3355882,0.115069718,0.238899236,0,4.34819131,361.831025,212.903132,808.026687,1852.53769,ur,tetrapga,1.3,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0
nominal_tetrapga,reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260627_124744/nominal_tetrapga_cycles.csv,reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260627_124744/nominal_tetrapga_summary.csv,1000,0.020000187,0.177455023,0.172076957,0.243077694,0.180638489,2.02449977,3.62203575,0.099892313,0.199342319,0,5.21165568,418.116853,227.515353,784.803476,1751.50055,ur,tetrapga,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0
payload_2kg_ignored_tetrapga,reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260627_124744/payload_2kg_ignored_tetrapga_cycles.csv,reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260627_124744/payload_2kg_ignored_tetrapga_summary.csv,1000,0.02000021,0.177487855,0.172466918,0.238379667,0.176326847,1.5479699,3.27656925,0.113785577,0.228442389,0,4.33421236,359.806868,215.57521,792.810204,1791.71525,ur,tetrapga,1,2,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0
payload_2kg_modeled_tetrapga,reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260627_124744/payload_2kg_modeled_tetrapga_cycles.csv,reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260627_124744/payload_2kg_modeled_tetrapga_summary.csv,1000,0.02000003,0.169300109,0.16392608,0.231404239,0.169231056,1.84878696,3.75304235,0.108866898,0.220702029,0,4.01547213,335.375543,201.638158,762.291236,1564.54449,ur,tetrapga,1,2,2,1,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0
payload_5kg_ignored_tetrapga,reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260627_124744/payload_5kg_ignored_tetrapga_cycles.csv,reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260627_124744/payload_5kg_ignored_tetrapga_summary.csv,1000,0.01999979,0.183754163,0.178269024,0.244021879,0.188874262,2.27665187,3.8913737,0.16467748,0.332145911,0,5.3161869,436.475985,221.625168,871.729384,2169.91086,ur,tetrapga,1,5,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0
payload_5kg_modeled_tetrapga,reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260627_124744/payload_5kg_modeled_tetrapga_cycles.csv,reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260627_124744/payload_5kg_modeled_tetrapga_summary.csv,1000,0.020000219,0.165064774,0.158894682,0.229198687,0.159467105,3.86525704,10.3805018,0.142664594,0.293539941,0,3.49923932,291.610494,163.021582,750.942882,1442.0752,ur,tetrapga,1,5,5,1,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0
