case_name,cycles_file,summary_file,num_cycles,dt_estimate_s,tracking_rmse,tracking_mean,tracking_p95,velocity_rmse,solve_time_mean_ms,solve_time_p95_ms,torque_ratio_mean,torque_ratio_p95,failure_rate,accel_rms_norm,jerk_rms_norm_from_dq,jerk_rms_norm_from_q,torque_rate_rms_norm,effort_rate_rms_norm,robot,backend,plant_mass_scale,plant_payload_mass,controller_payload_mass,model_payload,plant_payload_com,controller_payload_com,payload_com_attachment,external_force_body_name,external_force_start_s,external_force_duration_s,external_force,external_torque
com_01cm_x_tetrapga,reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260627_124744/com_01cm_x_tetrapga_cycles.csv,reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260627_124744/com_01cm_x_tetrapga_summary.csv,1000,0.020000405,0.165105383,0.159034153,0.227716218,0.158983685,3.51975852,10.3961894,0.143871563,0.295959947,0,3.22168329,264.016353,166.723644,767.45859,1446.307,ur,tetrapga,1,5,5,1,0.01 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0
com_01cm_y_tetrapga,reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260627_124744/com_01cm_y_tetrapga_cycles.csv,reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260627_124744/com_01cm_y_tetrapga_summary.csv,1000,0.019999895,0.16327892,0.157280433,0.225880038,0.159380704,3.17501629,10.3460619,0.143792027,0.295198441,0,3.42894643,282.976769,163.322004,741.652001,1383.03671,ur,tetrapga,1,5,5,1,0 0.01 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0
com_01cm_z_tetrapga,reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260627_124744/com_01cm_z_tetrapga_cycles.csv,reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260627_124744/com_01cm_z_tetrapga_summary.csv,1000,0.020000095,0.164416895,0.158286602,0.227749673,0.159447544,3.38723902,10.4135927,0.143623799,0.293679886,0,3.67132645,310.659784,165.363176,761.00464,1450.87298,ur,tetrapga,1,5,5,1,0 0 0.060000000000000005,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0
com_02cm_x_tetrapga,reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260627_124744/com_02cm_x_tetrapga_cycles.csv,reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260627_124744/com_02cm_x_tetrapga_summary.csv,1000,0.020000161,0.164171426,0.158172681,0.227069214,0.15854375,3.24984451,10.3769918,0.145339379,0.295476124,0,3.19579622,261.916272,159.931063,762.849108,1453.01018,ur,tetrapga,1,5,5,1,0.02 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0
com_02cm_y_tetrapga,reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260627_124744/com_02cm_y_tetrapga_cycles.csv,reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260627_124744/com_02cm_y_tetrapga_summary.csv,1000,0.020000354,0.164408709,0.158447059,0.227129779,0.160462042,3.26531634,10.3881273,0.14559577,0.298122082,0,3.53841347,284.806698,159.784642,756.355994,1442.18083,ur,tetrapga,1,5,5,1,0 0.02 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0
com_02cm_z_tetrapga,reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260627_124744/com_02cm_z_tetrapga_cycles.csv,reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260627_124744/com_02cm_z_tetrapga_summary.csv,1000,0.019999789,0.163727223,0.15769137,0.22658648,0.15810811,3.40754349,10.3638292,0.141219711,0.289045779,0,3.38764227,283.999677,161.630746,744.21261,1384.52024,ur,tetrapga,1,5,5,1,0 0 0.070000000000000007,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0
com_05cm_x_tetrapga,reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260627_124744/com_05cm_x_tetrapga_cycles.csv,reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260627_124744/com_05cm_x_tetrapga_summary.csv,1000,0.020000084,0.165512409,0.159493823,0.228830151,0.158975146,3.57316982,10.378384,0.146870534,0.308652722,0,3.04235045,253.364916,159.61737,763.841546,1449.17853,ur,tetrapga,1,5,5,1,0.050000000000000003 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0
com_05cm_y_tetrapga,reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260627_124744/com_05cm_y_tetrapga_cycles.csv,reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260627_124744/com_05cm_y_tetrapga_summary.csv,1000,0.020000894,0.164955339,0.158945804,0.224433023,0.160388879,3.52046083,10.4307431,0.150102905,0.309089858,0,3.76592253,322.22024,171.910275,766.677516,1483.13332,ur,tetrapga,1,5,5,1,0 0.050000000000000003 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0
com_05cm_z_tetrapga,reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260627_124744/com_05cm_z_tetrapga_cycles.csv,reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260627_124744/com_05cm_z_tetrapga_summary.csv,1000,0.019999665,0.164624978,0.158487649,0.227860198,0.159521215,3.25365361,10.322542,0.144275284,0.293295425,0,3.6163784,305.225953,162.364205,765.955483,1437.79642,ur,tetrapga,1,5,5,1,0 0 0.10000000000000001,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0
external_10N_tetrapga,reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260627_124744/external_10N_tetrapga_cycles.csv,reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260627_124744/external_10N_tetrapga_summary.csv,1000,0.020000424,0.177214601,0.171910922,0.242529702,0.18172738,1.83776621,3.6496639,0.103881838,0.209763258,0,5.39854876,434.808415,239.25452,789.246887,1790.67167,ur,tetrapga,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,8,0.04,10 0 0,0 0 0
